
	0.4573106	0.1688457	0.081101	2
	0.4573106	0.1688457	-0.081101	2
	0.15785	0.4090612	0.0823617	2
	0.15785	0.4090612	-0.0823617	2
	0.1409537	0.2982729	0.0716554	2
	0.1409537	0.2982729	-0.0716554	2
	0.472944	0.3552778	0.0803213	2
	0.472944	0.3552778	-0.0803213	2
	0.216917	0.4144947	0.083204	2
	0.216917	0.4144947	-0.083204	2
	0.1965254	0.3157304	0.0774713	2
	0.1965254	0.3157304	-0.0774713	2
	0.4379263	0.1774107	0.0839204	2
	0.4379263	0.1774107	-0.0839204	2
	0.177024	0.2678766	0.0831401	2
	0.177024	0.2678766	-0.0831401	2
	0.4741679	0.4680796	0.0701644	2
	0.4741679	0.4680796	-0.0701644	2
	0.1020377	0.2963195	0.0708829	2
	0.1020377	0.2963195	-0.0708829	2
